id,x,y,flux,a,b,theta
1,49.302,59.46,7276.769,1.28,1.193,1.5694
2,437.686,39.417,23852454.0,6.754,5.901,0.1668
3,167.009,86.346,634522.062,2.064,1.911,0.3635
4,166.696,147.575,1765.38,0.972,0.953,1.0623
5,299.831,157.953,8693.799,1.273,1.248,-1.5284
6,482.703,186.584,1863.21,1.092,1.014,-0.4169
7,506.308,200.241,2308.966,1.163,0.957,1.5481
8,438.06,224.533,870.923,1.081,0.732,-0.6179
9,144.021,245.812,613.59,0.818,0.648,0.7119
10,35.728,318.027,1293.011,0.923,0.904,0.0223
11,123.004,319.033,543.809,0.847,0.533,0.7879
12,433.988,381.511,354.088,0.79,0.497,-0.083
13,310.352,412.071,2045.206,1.115,0.992,0.7485
